collectionName;elementSize;collectionSize;Read/Writes;Insert/Deletes;TotalOperations/Second
TieredArrayRandomChunkSize8;1;10;90;10;59990721
TieredArrayChunkSize16;1;10;90;10;68758120
TieredArrayRandomChunkSize16;1;10;90;10;59028045
UnrolledLinkedListChunkSize8;1;10;90;10;57950988
UnrolledLinkedListRandomChunkSize8;1;10;90;10;51368268
UnrolledLinkedListChunkSize16;1;10;90;10;54739916
UnrolledLinkedListRandomChunkSize16;1;10;90;10;51246406
UnrolledLinkedListChunkSize32;1;10;90;10;54716440
UnrolledLinkedListRandomChunkSize32;1;10;90;10;51249884
std::vector;1;10;50;50;44703064
std::vector_random;1;10;50;50;219945
std::forward_list;1;10;50;50;69273193
std::forward_list_random;1;10;50;50;70376584
TieredArrayChunkSize2;1;10;50;50;33946003
TieredArrayRandomChunkSize2;1;10;50;50;33557623
TieredArrayChunkSize4;1;10;50;50;36851887
TieredArrayRandomChunkSize4;1;10;50;50;33386537
TieredArrayChunkSize8;1;10;50;50;32773279
TieredArrayRandomChunkSize8;1;10;50;50;30728929
TieredArrayChunkSize16;1;10;50;50;29522015
TieredArrayRandomChunkSize16;1;10;50;50;29701449
UnrolledLinkedListChunkSize8;1;10;50;50;38553260
UnrolledLinkedListRandomChunkSize8;1;10;50;50;36339571
UnrolledLinkedListChunkSize16;1;10;50;50;36597702
UnrolledLinkedListRandomChunkSize16;1;10;50;50;35367910
UnrolledLinkedListChunkSize32;1;10;50;50;36507864
UnrolledLinkedListRandomChunkSize32;1;10;50;50;35333596
std::vector;2;10;100;0;242490600
std::vector_random;2;10;100;0;229274320
std::forward_list;2;10;100;0;235964720
std::forward_list_random;2;10;100;0;204735848
TieredArrayChunkSize2;2;10;100;0;116164210
TieredArrayRandomChunkSize2;2;10;100;0;127482762
TieredArrayChunkSize4;2;10;100;0;115636050
TieredArrayRandomChunkSize4;2;10;100;0;127008178
TieredArrayChunkSize8;2;10;100;0;115539820
TieredArrayRandomChunkSize8;2;10;100;0;127073364
TieredArrayChunkSize16;2;10;100;0;116192130
TieredArrayRandomChunkSize16;2;10;100;0;128005152
UnrolledLinkedListChunkSize8;2;10;100;0;65603740
UnrolledLinkedListRandomChunkSize8;2;10;100;0;60365000
UnrolledLinkedListChunkSize16;2;10;100;0;70850758
UnrolledLinkedListRandomChunkSize16;2;10;100;0;70835740
UnrolledLinkedListChunkSize32;2;10;100;0;71226810
UnrolledLinkedListRandomChunkSize32;2;10;100;0;70401738
std::vector;2;10;99;1;153268564
std::vector_random;2;10;99;1;397529
std::forward_list;2;10;99;1;189918445
std::forward_list_random;2;10;99;1;29099331
TieredArrayChunkSize2;2;10;99;1;38588579
TieredArrayRandomChunkSize2;2;10;99;1;25005541
TieredArrayChunkSize4;2;10;99;1;38808755
TieredArrayRandomChunkSize4;2;10;99;1;25180881
TieredArrayChunkSize8;2;10;99;1;22390247
TieredArrayRandomChunkSize8;2;10;99;1;19975252
TieredArrayChunkSize16;2;10;99;1;22506683
TieredArrayRandomChunkSize16;2;10;99;1;20125567
UnrolledLinkedListChunkSize8;2;10;99;1;53362412
UnrolledLinkedListRandomChunkSize8;2;10;99;1;51770483
UnrolledLinkedListChunkSize16;2;10;99;1;59935632
UnrolledLinkedListRandomChunkSize16;2;10;99;1;58244273
UnrolledLinkedListChunkSize32;2;10;99;1;60515030
UnrolledLinkedListRandomChunkSize32;2;10;99;1;59906969
std::vector;2;10;90;10;78828210
std::vector_random;2;10;90;10;71654626
std::forward_list;2;10;90;10;109129840
std::forward_list_random;2;10;90;10;26169008
TieredArrayChunkSize2;2;10;90;10;21230640
TieredArrayRandomChunkSize2;2;10;90;10;15629437
TieredArrayChunkSize4;2;10;90;10;21434610
TieredArrayRandomChunkSize4;2;10;90;10;15904030
TieredArrayChunkSize8;2;10;90;10;14481360
TieredArrayRandomChunkSize8;2;10;90;10;12058760
TieredArrayChunkSize16;2;10;90;10;14406980
TieredArrayRandomChunkSize16;2;10;90;10;11932283
UnrolledLinkedListChunkSize8;2;10;90;10;47479290
UnrolledLinkedListRandomChunkSize8;2;10;90;10;47801442
UnrolledLinkedListChunkSize16;2;10;90;10;45925306
UnrolledLinkedListRandomChunkSize16;2;10;90;10;47352516
UnrolledLinkedListChunkSize32;2;10;90;10;45844226
UnrolledLinkedListRandomChunkSize32;2;10;90;10;47401020
std::vector;2;10;50;50;34833236
std::vector_random;2;10;50;50;220088
std::forward_list;2;10;50;50;48015229
std::forward_list_random;2;10;50;50;48356096
TieredArrayChunkSize2;2;10;50;50;7818291
TieredArrayRandomChunkSize2;2;10;50;50;8013090
TieredArrayChunkSize4;2;10;50;50;8098779
TieredArrayRandomChunkSize4;2;10;50;50;8163966
TieredArrayChunkSize8;2;10;50;50;5576191
TieredArrayRandomChunkSize8;2;10;50;50;5750023
TieredArrayChunkSize16;2;10;50;50;5443799
TieredArrayRandomChunkSize16;2;10;50;50;5722167
UnrolledLinkedListChunkSize8;2;10;50;50;32054972
UnrolledLinkedListRandomChunkSize8;2;10;50;50;29284789
UnrolledLinkedListChunkSize16;2;10;50;50;30800624
UnrolledLinkedListRandomChunkSize16;2;10;50;50;29660114
UnrolledLinkedListChunkSize32;2;10;50;50;30908678
UnrolledLinkedListRandomChunkSize32;2;10;50;50;29641186
std::vector;3;10;100;0;256825789
std::vector_random;3;10;100;0;233377309
std::forward_list;3;10;100;0;90259450
std::forward_list_random;3;10;100;0;102478992
TieredArrayChunkSize2;3;10;100;0;115796940
TieredArrayRandomChunkSize2;3;10;100;0;125500980
TieredArrayChunkSize4;3;10;100;0;118573350
TieredArrayRandomChunkSize4;3;10;100;0;128894370
TieredArrayChunkSize8;3;10;100;0;118414160
TieredArrayRandomChunkSize8;3;10;100;0;126101613
TieredArrayChunkSize16;3;10;100;0;118647820
TieredArrayRandomChunkSize16;3;10;100;0;128876693
UnrolledLinkedListChunkSize8;3;10;100;0;52842726
UnrolledLinkedListRandomChunkSize8;3;10;100;0;54867500
UnrolledLinkedListChunkSize16;3;10;100;0;56888330
UnrolledLinkedListRandomChunkSize16;3;10;100;0;61068900
UnrolledLinkedListChunkSize32;3;10;100;0;55814012
UnrolledLinkedListRandomChunkSize32;3;10;100;0;61482180
std::vector;3;10;99;1;18844
std::vector_random;3;10;99;1;5192
std::forward_list;3;10;99;1;42305
std::forward_list_random;3;10;99;1;4410
TieredArrayChunkSize2;3;10;99;1;1595
TieredArrayRandomChunkSize2;3;10;99;1;627
TieredArrayChunkSize4;3;10;99;1;1559
TieredArrayRandomChunkSize4;3;10;99;1;616
TieredArrayChunkSize8;3;10;99;1;563
TieredArrayRandomChunkSize8;3;10;99;1;462
TieredArrayChunkSize16;3;10;99;1;563
TieredArrayRandomChunkSize16;3;10;99;1;451
UnrolledLinkedListChunkSize8;3;10;99;1;21126
UnrolledLinkedListRandomChunkSize8;3;10;99;1;20895
UnrolledLinkedListChunkSize16;3;10;99;1;19010
UnrolledLinkedListRandomChunkSize16;3;10;99;1;19009
UnrolledLinkedListChunkSize32;3;10;99;1;18990
UnrolledLinkedListRandomChunkSize32;3;10;99;1;19009
std::vector;3;10;90;10;10328
std::vector_random;3;10;90;10;10438
std::forward_list;3;10;90;10;21280
std::forward_list_random;3;10;90;10;3792
TieredArrayChunkSize2;3;10;90;10;560
TieredArrayRandomChunkSize2;3;10;90;10;373
TieredArrayChunkSize4;3;10;90;10;550
TieredArrayRandomChunkSize4;3;10;90;10;362
TieredArrayChunkSize8;3;10;90;10;320
TieredArrayRandomChunkSize8;3;10;90;10;252
TieredArrayChunkSize16;3;10;90;10;320
TieredArrayRandomChunkSize16;3;10;90;10;252
UnrolledLinkedListChunkSize8;3;10;90;10;10306
UnrolledLinkedListRandomChunkSize8;3;10;90;10;14528
UnrolledLinkedListChunkSize16;3;10;90;10;9496
UnrolledLinkedListRandomChunkSize16;3;10;90;10;9476
UnrolledLinkedListChunkSize32;3;10;90;10;9496
UnrolledLinkedListRandomChunkSize32;3;10;90;10;9476
std::vector;3;10;50;50;3772
std::vector_random;3;10;50;50;2600
std::forward_list;3;10;50;50;8149
std::forward_list_random;3;10;50;50;8424
TieredArrayChunkSize2;3;10;50;50;187
TieredArrayRandomChunkSize2;3;10;50;50;195
TieredArrayChunkSize4;3;10;50;50;183
TieredArrayRandomChunkSize4;3;10;50;50;191
TieredArrayChunkSize8;3;10;50;50;111
TieredArrayRandomChunkSize8;3;10;50;50;121
TieredArrayChunkSize16;3;10;50;50;111
TieredArrayRandomChunkSize16;3;10;50;50;121
UnrolledLinkedListChunkSize8;3;10;50;50;3834
UnrolledLinkedListRandomChunkSize8;3;10;50;50;3805
UnrolledLinkedListChunkSize16;3;10;50;50;3850
UnrolledLinkedListRandomChunkSize16;3;10;50;50;3850
UnrolledLinkedListChunkSize32;3;10;50;50;3850
UnrolledLinkedListRandomChunkSize32;3;10;50;50;3850
std::vector;1;1000;100;0;326245920
std::vector_random;1;1000;100;0;495265771
std::forward_list;1;1000;100;0;463037000
std::forward_list_random;1;1000;100;0;489766068
TieredArrayChunkSize2;1;1000;100;0;185110000
TieredArrayRandomChunkSize2;1;1000;100;0;174936762
TieredArrayChunkSize4;1;1000;100;0;185100000
TieredArrayRandomChunkSize4;1;1000;100;0;178517339
TieredArrayChunkSize8;1;1000;100;0;185079000
TieredArrayRandomChunkSize8;1;1000;100;0;177676499
TieredArrayChunkSize16;1;1000;100;0;185108000
TieredArrayRandomChunkSize16;1;1000;100;0;175509334
UnrolledLinkedListChunkSize8;1;1000;100;0;75575864
UnrolledLinkedListRandomChunkSize8;1;1000;100;0;79304474
UnrolledLinkedListChunkSize16;1;1000;100;0;75518754
UnrolledLinkedListRandomChunkSize16;1;1000;100;0;79790884
UnrolledLinkedListChunkSize32;1;1000;100;0;76212958
UnrolledLinkedListRandomChunkSize32;1;1000;100;0;80175754
std::vector;1;1000;99;1;137551614
std::vector_random;1;1000;99;1;144854910
std::forward_list;1;1000;99;1;431679200
std::forward_list_random;1;1000;99;1;472913600
TieredArrayChunkSize2;1;1000;99;1;43114200
TieredArrayRandomChunkSize2;1;1000;99;1;44516071
TieredArrayChunkSize4;1;1000;99;1;72831600
TieredArrayRandomChunkSize4;1;1000;99;1;71971899
TieredArrayChunkSize8;1;1000;99;1;70253000
TieredArrayRandomChunkSize8;1;1000;99;1;70393122
TieredArrayChunkSize16;1;1000;99;1;71383200
TieredArrayRandomChunkSize16;1;1000;99;1;70980109
std::vector;1;1000;90;10;14411597
std::vector_random;1;1000;90;10;14748974
std::forward_list;1;1000;90;10;256336480
std::forward_list_random;1;1000;90;10;267617520
TieredArrayChunkSize2;1;1000;90;10;4389200
TieredArrayRandomChunkSize2;1;1000;90;10;4882938
TieredArrayChunkSize4;1;1000;90;10;10726540
TieredArrayRandomChunkSize4;1;1000;90;10;9736426
TieredArrayChunkSize8;1;1000;90;10;10745060
TieredArrayRandomChunkSize8;1;1000;90;10;9627658
TieredArrayChunkSize16;1;1000;90;10;10300600
TieredArrayRandomChunkSize16;1;1000;90;10;9542292
std::vector;1;1000;50;50;3740945
std::vector_random;1;1000;50;50;1537095
std::forward_list;1;1000;50;50;71081640
std::forward_list_random;1;1000;50;50;71772576
TieredArrayChunkSize2;1;1000;50;50;1075092
TieredArrayRandomChunkSize2;1;1000;50;50;914301
TieredArrayChunkSize4;1;1000;50;50;2150556
TieredArrayRandomChunkSize4;1;1000;50;50;2109054
TieredArrayChunkSize8;1;1000;50;50;2075292
TieredArrayRandomChunkSize8;1;1000;50;50;2042160
TieredArrayChunkSize16;1;1000;50;50;2170224
TieredArrayRandomChunkSize16;1;1000;50;50;2121223
UnrolledLinkedListChunkSize8;1;1000;50;50;39969698
UnrolledLinkedListRandomChunkSize8;1;1000;50;50;37233503
UnrolledLinkedListChunkSize16;1;1000;50;50;38827832
UnrolledLinkedListRandomChunkSize16;1;1000;50;50;37270978
UnrolledLinkedListChunkSize32;1;1000;50;50;35357850
UnrolledLinkedListRandomChunkSize32;1;1000;50;50;33948606
std::vector;2;1000;100;0;324335011
std::vector_random;2;1000;100;0;351337987
std::forward_list;2;1000;100;0;259534000
std::forward_list_random;2;1000;100;0;434729598
TieredArrayChunkSize2;2;1000;100;0;174404000
TieredArrayRandomChunkSize2;2;1000;100;0;176216040
TieredArrayChunkSize4;2;1000;100;0;173475000
TieredArrayRandomChunkSize4;2;1000;100;0;177157981
TieredArrayChunkSize8;2;1000;100;0;174929000
TieredArrayRandomChunkSize8;2;1000;100;0;174956782
TieredArrayChunkSize16;2;1000;100;0;176802000
TieredArrayRandomChunkSize16;2;1000;100;0;175581406
UnrolledLinkedListChunkSize8;2;1000;100;0;72116780
UnrolledLinkedListRandomChunkSize8;2;1000;100;0;73839632
UnrolledLinkedListChunkSize16;2;1000;100;0;73427882
UnrolledLinkedListRandomChunkSize16;2;1000;100;0;75560180
UnrolledLinkedListChunkSize32;2;1000;100;0;74170946
UnrolledLinkedListRandomChunkSize32;2;1000;100;0;75727720
std::vector;2;1000;99;1;129353824
std::vector_random;2;1000;99;1;132064732
std::forward_list;2;1000;99;1;248209800
std::forward_list_random;2;1000;99;1;425566200
TieredArrayChunkSize2;2;1000;99;1;5502600
TieredArrayRandomChunkSize2;2;1000;99;1;5709103
TieredArrayChunkSize4;2;1000;99;1;5526400
TieredArrayRandomChunkSize4;2;1000;99;1;5747741
TieredArrayChunkSize8;2;1000;99;1;5516200
TieredArrayRandomChunkSize8;2;1000;99;1;5774568
TieredArrayChunkSize16;2;1000;99;1;5537200
TieredArrayRandomChunkSize16;2;1000;99;1;5767561
std::vector;2;1000;90;10;12733981
std::vector_random;2;1000;90;10;12666113
std::forward_list;2;1000;90;10;153411720
std::forward_list_random;2;1000;90;10;196006040
TieredArrayChunkSize2;2;1000;90;10;551160
TieredArrayRandomChunkSize2;2;1000;90;10;472672
TieredArrayChunkSize4;2;1000;90;10;549740
TieredArrayRandomChunkSize4;2;1000;90;10;471711
TieredArrayChunkSize8;2;1000;90;10;548160
TieredArrayRandomChunkSize8;2;1000;90;10;471090
TieredArrayChunkSize16;2;1000;90;10;548460
TieredArrayRandomChunkSize16;2;1000;90;10;470990
std::vector;2;1000;50;50;3600697
std::vector_random;2;1000;50;50;1521688
std::forward_list;2;1000;50;50;47633684
std::forward_list_random;2;1000;50;50;48800504
TieredArrayChunkSize2;2;1000;50;50;106084
TieredArrayRandomChunkSize2;2;1000;50;50;100099
TieredArrayChunkSize4;2;1000;50;50;107576
TieredArrayRandomChunkSize4;2;1000;50;50;100352
TieredArrayChunkSize8;2;1000;50;50;108460
TieredArrayRandomChunkSize8;2;1000;50;50;100264
TieredArrayChunkSize16;2;1000;50;50;109004
TieredArrayRandomChunkSize16;2;1000;50;50;100464
UnrolledLinkedListChunkSize8;2;1000;50;50;31658166
UnrolledLinkedListRandomChunkSize8;2;1000;50;50;27276929
UnrolledLinkedListChunkSize16;2;1000;50;50;31262302
UnrolledLinkedListRandomChunkSize16;2;1000;50;50;27056018
UnrolledLinkedListChunkSize32;2;1000;50;50;29456582
UnrolledLinkedListRandomChunkSize32;2;1000;50;50;25847816
std::vector;3;1000;100;0;109054946
std::vector_random;3;1000;100;0;74320246
std::forward_list;3;1000;100;0;36430000
std::forward_list_random;3;1000;100;0;37668222
TieredArrayChunkSize2;3;1000;100;0;110576000
TieredArrayRandomChunkSize2;3;1000;100;0;101560459
TieredArrayChunkSize4;3;1000;100;0;109484000
TieredArrayRandomChunkSize4;3;1000;100;0;109843734
TieredArrayChunkSize8;3;1000;100;0;110118000
TieredArrayRandomChunkSize8;3;1000;100;0;110346236
TieredArrayChunkSize16;3;1000;100;0;110761000
TieredArrayRandomChunkSize16;3;1000;100;0;110280170
UnrolledLinkedListChunkSize8;3;1000;100;0;41466732
UnrolledLinkedListRandomChunkSize8;3;1000;100;0;41610286
UnrolledLinkedListChunkSize16;3;1000;100;0;41791812
UnrolledLinkedListRandomChunkSize16;3;1000;100;0;42077508
UnrolledLinkedListChunkSize32;3;1000;100;0;41921008
UnrolledLinkedListRandomChunkSize32;3;1000;100;0;42534600
std::vector;3;1000;99;1;90089
std::vector_random;3;1000;99;1;190590
std::forward_list;3;1000;99;1;403200
std::forward_list_random;3;1000;99;1;417000
TieredArrayChunkSize2;3;1000;99;1;200
TieredArrayRandomChunkSize2;3;1000;99;1;400
TieredArrayChunkSize4;3;1000;99;1;200
TieredArrayRandomChunkSize4;3;1000;99;1;400
TieredArrayChunkSize8;3;1000;99;1;200
TieredArrayRandomChunkSize8;3;1000;99;1;400
TieredArrayChunkSize16;3;1000;99;1;200
TieredArrayRandomChunkSize16;3;1000;99;1;400
std::vector;3;1000;90;10;8988
std::vector_random;3;1000;90;10;19239
std::forward_list;3;1000;90;10;42240
std::forward_list_random;3;1000;90;10;42260
TieredArrayChunkSize2;3;1000;90;10;20
TieredArrayRandomChunkSize2;3;1000;90;10;20
TieredArrayChunkSize4;3;1000;90;10;20
TieredArrayRandomChunkSize4;3;1000;90;10;20
TieredArrayChunkSize8;3;1000;90;10;20
TieredArrayRandomChunkSize8;3;1000;90;10;20
TieredArrayChunkSize16;3;1000;90;10;20
TieredArrayRandomChunkSize16;3;1000;90;10;20
UnrolledLinkedListChunkSize8;3;1000;90;10;20599
UnrolledLinkedListRandomChunkSize8;3;1000;90;10;20411
UnrolledLinkedListChunkSize16;3;1000;90;10;19050
UnrolledLinkedListRandomChunkSize16;3;1000;90;10;19101
UnrolledLinkedListChunkSize32;3;1000;90;10;19310
UnrolledLinkedListRandomChunkSize32;3;1000;90;10;19121
std::vector;3;1000;50;50;1798
std::vector_random;3;1000;50;50;3819
std::forward_list;3;1000;50;50;8500
std::forward_list_random;3;1000;50;50;8540
TieredArrayChunkSize2;3;1000;50;50;4
TieredArrayRandomChunkSize2;3;1000;50;50;8
TieredArrayChunkSize4;3;1000;50;50;4
TieredArrayRandomChunkSize4;3;1000;50;50;8
TieredArrayChunkSize8;3;1000;50;50;4
TieredArrayRandomChunkSize8;3;1000;50;50;8
TieredArrayChunkSize16;3;1000;50;50;4
TieredArrayRandomChunkSize16;3;1000;50;50;8
UnrolledLinkedListChunkSize8;3;1000;50;50;3858
UnrolledLinkedListRandomChunkSize8;3;1000;50;50;3845
UnrolledLinkedListChunkSize16;3;1000;50;50;3918
UnrolledLinkedListRandomChunkSize16;3;1000;50;50;3854
UnrolledLinkedListChunkSize32;3;1000;50;50;3854
UnrolledLinkedListRandomChunkSize32;3;1000;50;50;3850
std::vector;1;100000;100;0;254702547
std::vector_random;1;100000;100;0;111701117
std::forward_list;1;100000;100;0;293600000
std::forward_list_random;1;100000;100;0;257583200
TieredArrayChunkSize2;1;100000;100;0;179300000
TieredArrayRandomChunkSize2;1;100000;100;0;108801088
TieredArrayChunkSize4;1;100000;100;0;180200000
TieredArrayRandomChunkSize4;1;100000;100;0;118801188
TieredArrayChunkSize8;1;100000;100;0;181100000
TieredArrayRandomChunkSize8;1;100000;100;0;121601216
TieredArrayChunkSize16;1;100000;100;0;181900000
TieredArrayRandomChunkSize16;1;100000;100;0;124601246
UnrolledLinkedListChunkSize8;1;100000;100;0;78270850
UnrolledLinkedListRandomChunkSize8;1;100000;100;0;76309836
UnrolledLinkedListChunkSize16;1;100000;100;0;78761086
UnrolledLinkedListRandomChunkSize16;1;100000;100;0;79746536
UnrolledLinkedListChunkSize32;1;100000;100;0;77419756
UnrolledLinkedListRandomChunkSize32;1;100000;100;0;80096884
std::vector;1;100000;99;1;1965819
std::vector_random;1;100000;99;1;1917019
std::forward_list;1;100000;99;1;284288600
std::forward_list_random;1;100000;99;1;437575200
TieredArrayChunkSize2;1;100000;99;1;461200
TieredArrayRandomChunkSize2;1;100000;99;1;474204
TieredArrayChunkSize4;1;100000;99;1;1106600
TieredArrayRandomChunkSize4;1;100000;99;1;1086010
TieredArrayChunkSize8;1;100000;99;1;1125000
TieredArrayRandomChunkSize8;1;100000;99;1;1123011
TieredArrayChunkSize16;1;100000;99;1;1130800
TieredArrayRandomChunkSize16;1;100000;99;1;1127811
UnrolledLinkedListChunkSize8;1;100000;99;1;57917232
UnrolledLinkedListRandomChunkSize8;1;100000;99;1;46788872
UnrolledLinkedListChunkSize16;1;100000;99;1;49831507
UnrolledLinkedListRandomChunkSize16;1;100000;99;1;66431550
std::vector;1;100000;90;10;132081
std::vector_random;1;100000;90;10;169201
std::forward_list;1;100000;90;10;213506740
std::forward_list_random;1;100000;90;10;268435620
TieredArrayChunkSize2;1;100000;90;10;28120
TieredArrayRandomChunkSize2;1;100000;90;10;47620
TieredArrayChunkSize4;1;100000;90;10;106140
TieredArrayRandomChunkSize4;1;100000;90;10;111201
TieredArrayChunkSize8;1;100000;90;10;107920
TieredArrayRandomChunkSize8;1;100000;90;10;114881
TieredArrayChunkSize16;1;100000;90;10;108300
TieredArrayRandomChunkSize16;1;100000;90;10;115461
std::vector;1;100000;50;50;22432
std::vector_random;1;100000;50;50;39660
std::forward_list;1;100000;50;50;66513688
std::forward_list_random;1;100000;50;50;66158680
TieredArrayChunkSize2;1;100000;50;50;4896
TieredArrayRandomChunkSize2;1;100000;50;50;9552
TieredArrayChunkSize4;1;100000;50;50;11872
TieredArrayRandomChunkSize4;1;100000;50;50;22360
TieredArrayChunkSize8;1;100000;50;50;12272
TieredArrayRandomChunkSize8;1;100000;50;50;22916
TieredArrayChunkSize16;1;100000;50;50;12312
TieredArrayRandomChunkSize16;1;100000;50;50;23196
UnrolledLinkedListChunkSize8;1;100000;50;50;38478492
UnrolledLinkedListRandomChunkSize8;1;100000;50;50;25356487
UnrolledLinkedListChunkSize16;1;100000;50;50;37549784
UnrolledLinkedListRandomChunkSize16;1;100000;50;50;25111827
UnrolledLinkedListChunkSize32;1;100000;50;50;34195042
UnrolledLinkedListRandomChunkSize32;1;100000;50;50;24570663
std::vector;2;100000;100;0;111601116
std::vector_random;2;100000;100;0;92500925
std::forward_list;2;100000;100;0;91600000
std::forward_list_random;2;100000;100;0;93707600
TieredArrayChunkSize2;2;100000;100;0;111300000
TieredArrayRandomChunkSize2;2;100000;100;0;79500795
TieredArrayChunkSize4;2;100000;100;0;109600000
TieredArrayRandomChunkSize4;2;100000;100;0;103901039
TieredArrayChunkSize8;2;100000;100;0;110200000
TieredArrayRandomChunkSize8;2;100000;100;0;108401084
TieredArrayChunkSize16;2;100000;100;0;96600000
TieredArrayRandomChunkSize16;2;100000;100;0;105801058
UnrolledLinkedListChunkSize8;2;100000;100;0;43950002
UnrolledLinkedListRandomChunkSize8;2;100000;100;0;58616986
UnrolledLinkedListChunkSize16;2;100000;100;0;58511754
UnrolledLinkedListRandomChunkSize16;2;100000;100;0;64204018
UnrolledLinkedListChunkSize32;2;100000;100;0;62660920
UnrolledLinkedListRandomChunkSize32;2;100000;100;0;69740410
std::vector;2;100000;99;1;1905019
std::vector_random;2;100000;99;1;1888618
std::forward_list;2;100000;99;1;86931200
std::forward_list_random;2;100000;99;1;435458800
TieredArrayChunkSize2;2;100000;99;1;13600
TieredArrayRandomChunkSize2;2;100000;99;1;24000
TieredArrayChunkSize4;2;100000;99;1;14000
TieredArrayRandomChunkSize4;2;100000;99;1;24400
TieredArrayChunkSize8;2;100000;99;1;13800
TieredArrayRandomChunkSize8;2;100000;99;1;24200
TieredArrayChunkSize16;2;100000;99;1;14000
TieredArrayRandomChunkSize16;2;100000;99;1;24400
UnrolledLinkedListChunkSize8;2;100000;99;1;36078736
UnrolledLinkedListRandomChunkSize8;2;100000;99;1;37382493
UnrolledLinkedListChunkSize16;2;100000;99;1;44420924
UnrolledLinkedListRandomChunkSize16;2;100000;99;1;50611862
UnrolledLinkedListChunkSize32;2;100000;99;1;51324566
UnrolledLinkedListRandomChunkSize32;2;100000;99;1;55664301
std::vector;2;100000;90;10;120881
std::vector_random;2;100000;90;10;150621
std::forward_list;2;100000;90;10;59176480
std::forward_list_random;2;100000;90;10;194604400
TieredArrayChunkSize2;2;100000;90;10;1260
TieredArrayRandomChunkSize2;2;100000;90;10;2480
TieredArrayChunkSize4;2;100000;90;10;1300
TieredArrayRandomChunkSize4;2;100000;90;10;2520
TieredArrayChunkSize8;2;100000;90;10;1280
TieredArrayRandomChunkSize8;2;100000;90;10;2540
TieredArrayChunkSize16;2;100000;90;10;1300
TieredArrayRandomChunkSize16;2;100000;90;10;2520
std::vector;2;100000;50;50;22400
std::vector_random;2;100000;50;50;39548
std::forward_list;2;100000;50;50;29270368
std::forward_list_random;2;100000;50;50;48958992
TieredArrayChunkSize2;2;100000;50;50;252
TieredArrayRandomChunkSize2;2;100000;50;50;512
TieredArrayChunkSize4;2;100000;50;50;260
TieredArrayRandomChunkSize4;2;100000;50;50;520
TieredArrayChunkSize8;2;100000;50;50;260
TieredArrayRandomChunkSize8;2;100000;50;50;520
TieredArrayChunkSize16;2;100000;50;50;256
TieredArrayRandomChunkSize16;2;100000;50;50;520
UnrolledLinkedListChunkSize8;2;100000;50;50;32187634
UnrolledLinkedListRandomChunkSize8;2;100000;50;50;9929829
UnrolledLinkedListChunkSize16;2;100000;50;50;31780740
UnrolledLinkedListRandomChunkSize16;2;100000;50;50;12609787
UnrolledLinkedListChunkSize32;2;100000;50;50;29918194
UnrolledLinkedListRandomChunkSize32;2;100000;50;50;12345609
std::vector;1;10000000;100;0;200000020
std::vector_random;1;10000000;100;0;20000002
std::forward_list;1;10000000;100;0;220000000
std::forward_list_random;1;10000000;100;0;159672922
